"filename", "language", "CSS", "JavaScript", "XML", "JavaScript JSX", "Markdown", "JSON", "HTML", "MS SQL", "YAML", "comment", "blank", "total"
"c:\Users\User\Desktop\Slack_clone\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\User\Desktop\Slack_clone\src\components\RightMainContainer.jsx", "JavaScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\User\Desktop\Slack_clone\src\components\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 9, 79
"c:\Users\User\Desktop\Slack_clone\src\css\ChannelCreateModal.css", "CSS", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 71
"c:\Users\User\Desktop\Slack_clone\src\css\ChannelList.css", "CSS", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 83
"c:\Users\User\Desktop\Slack_clone\src\css\Home.css", "CSS", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\User\Desktop\Slack_clone\src\css\LeftMainContainer.css", "CSS", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\User\Desktop\Slack_clone\src\css\MainContainer.css", "CSS", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"c:\Users\User\Desktop\Slack_clone\src\css\Navbar.css", "CSS", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 77
"c:\Users\User\Desktop\Slack_clone\src\css\Sidebar.css", "CSS", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 79
"c:\Users\User\Desktop\Slack_clone\src\css\Signin.css", "CSS", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"c:\Users\User\Desktop\Slack_clone\src\css\Signup.css", "CSS", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 60
"c:\Users\User\Desktop\Slack_clone\src\fbconfig.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\User\Desktop\Slack_clone\src\index.css", "CSS", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 74
"c:\Users\User\Desktop\Slack_clone\src\main.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 3, 23
"c:\Users\User\Desktop\Slack_clone\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 511, 624, 2, 1045, 1, 7133, 13, 6, 32, 34, 316, 9717
